study_id,taxonomic group,ITIS taxon,site,country,longitude,latitude,coverage,percent mapped (incl. scaffolds),SRA Sample ID,BioProject Accession
VWP00301,sabaeus (St.Kitts/Nevis),Chlorocebus sabaeus,Frigate Bay,Saint Kitts,"-62,69406533","17,28622992","4,2","98,9843536613833",SAMN07671843,PRJNA407948
VWP00312,sabaeus (St.Kitts/Nevis),Chlorocebus sabaeus,SE Peninsula,Saint Kitts,"-62,65534932","17,24913505","5,3","99,237814482309",SAMN07574169,PRJNA168527
VWP00384,sabaeus (St.Kitts/Nevis),Chlorocebus sabaeus,Dale,Saint Kitts,"-62,74325411","17,34984848","4,4","98,9754165461531",SAMN07671844,PRJNA407948
VWP00389,sabaeus (St.Kitts/Nevis),Chlorocebus sabaeus,Dale/Spooners,Saint Kitts,"-62,731773","17,34853721","4,1","99,1437636391739",SAMN07671845,PRJNA407948
VWP00390,sabaeus (St.Kitts/Nevis),Chlorocebus sabaeus,Shadwell,Saint Kitts,"-62,73118869","17,31283693","3,4","99,0174226655645",SAMN07671846,PRJNA407948
VWP00393,sabaeus (St.Kitts/Nevis),Chlorocebus sabaeus,Bird Rock-1,Saint Kitts,"-62,70310437","17,29635215","6,7","99,0619369509198",SAMN07574170,PRJNA168527
VWP00410,sabaeus (St.Kitts/Nevis),Chlorocebus sabaeus,West Farm,Saint Kitts,"-62,76335509","17,29541212","3,5","98,6206750213265",SAMN07671847,PRJNA407948
VWP00414,sabaeus (St.Kitts/Nevis),Chlorocebus sabaeus,West Farm,Saint Kitts,"-62,76335509","17,29541212","4,2","98,8544720389526",SAMN07671848,PRJNA407948
VWP00437,sabaeus (St.Kitts/Nevis),Chlorocebus sabaeus,Citrus,Saint Kitts,"-62,79653342","17,32574615","4,4","98,3968563795791",SAMN07671849,PRJNA407948
VWP00456,sabaeus (St.Kitts/Nevis),Chlorocebus sabaeus,Franklands,Saint Kitts,"-62,79770865","17,31966759","5,2","99,140821354675",SAMN07574171,PRJNA168527
VWP00494,sabaeus (St.Kitts/Nevis),Chlorocebus sabaeus,Brighton,Saint Kitts,"-62,73879854","17,35434604","5,5","99,2192451971859",SAMN07574172,PRJNA168527
VWP00542,sabaeus (St.Kitts/Nevis),Chlorocebus sabaeus,Tabernacle,Saint Kitts,"-62,77821662","17,39121359","4,8","98,7436378842201",SAMN07671850,PRJNA407948
VWP10008,sabaeus (St.Kitts/Nevis),Chlorocebus sabaeus,Fenton Hill,Nevis,"-62,5638166666667","17,1399166666667","5,3","99,3774988949025",SAMN07574173,PRJNA168527
VWP10010,sabaeus (St.Kitts/Nevis),Chlorocebus sabaeus,Hanley Valley,Nevis,"-62,5609","17,1232","3,7","98,9998601987045",SAMN07671851,PRJNA407948
VWP10020,sabaeus (St.Kitts/Nevis),Chlorocebus sabaeus,New River,Nevis,"-62,5552","17,14975","3,4","99,0783321954112",SAMN07671852,PRJNA407948
VWP10026,sabaeus (St.Kitts/Nevis),Chlorocebus sabaeus,New River,Nevis,"-62,5552","17,14975","5,3","99,1838347660551",SAMN07574174,PRJNA168527
VWP10045,sabaeus (St.Kitts/Nevis),Chlorocebus sabaeus,Taylor's Pasture,Nevis,"-62,5767666666667","17,13108333333",3,"99,1294921042673",SAMN07671853,PRJNA407948
VWP10053,sabaeus (St.Kitts/Nevis),Chlorocebus sabaeus,Butler's Hill,Nevis,"-62,5487","17,1664","4,8","99,1961916093467",SAMN07574175,PRJNA168527
VWP10064,sabaeus (St.Kitts/Nevis),Chlorocebus sabaeus,Beach Road,Nevis,"-62,59","17,15","4,9","99,2375813980536",SAMN07671854,PRJNA407948
VWP10067,sabaeus (St.Kitts/Nevis),Chlorocebus sabaeus,Beach Road,Nevis,"-62,59","17,15","5,7","99,2167358582035",SAMN07574176,PRJNA168527
VWP10070,sabaeus (St.Kitts/Nevis),Chlorocebus sabaeus,Cocoa Ghut,Nevis,"-62,59","17,15","4,2","99,0874486078882",SAMN07671855,PRJNA407948
VWP10076,sabaeus (St.Kitts/Nevis),Chlorocebus sabaeus,Prospect,Nevis,"-62,59","17,15","4,6","99,1740861324916",SAMN07671856,PRJNA407948
VWP10077,sabaeus (St.Kitts/Nevis),Chlorocebus sabaeus,Prospect,Nevis,"-62,59","17,15","5,1","99,1571593723528",SAMN07574177,PRJNA168527
VWP10084,sabaeus (St.Kitts/Nevis),Chlorocebus sabaeus,Pond Hill,Nevis,"-62,5888","17,1216","3,9","99,1853002525757",SAMN07671857,PRJNA407948
VZA1001,cynosuros,Chlorocebus cynosuros,Kafue-2,Zambia,"25,999866667","-15,047083333","4,6","99,5104592161333",SAMN01162200,PRJNA168520
VZA1002,cynosuros,Chlorocebus cynosuros,Kafue-2,Zambia,"25,999866667","-15,047083333","3,9","98,7805039948712",SAMN01162206,PRJNA168520
VZA1003,cynosuros,Chlorocebus cynosuros,Kafue-2,Zambia,"25,999866667","-15,047083333","4,3","99,1294699695489",SAMN01162224,PRJNA168520
VZA1004,cynosuros,Chlorocebus cynosuros,Kafue-2,Zambia,"25,999866667","-15,047083333","4,8","99,7071614646316",SAMN01162230,PRJNA168520
VZA2005,cynosuros,Chlorocebus cynosuros,Kafue,Zambia,"25,906016667","-14,942733333","3,3","99,6769866101217",SAMN01162204,PRJNA168520
VZA2006,cynosuros,Chlorocebus cynosuros,Kafue,Zambia,"25,906016667","-14,942733333","4,6","99,0968695228752",SAMN01162239,PRJNA168520
VZA3008,cynosuros,Chlorocebus cynosuros,Kafue-1,Zambia,"25,993216667","-14,978316667","8,2","98,7197928742376",SAMN05277891,PRJNA168520
VZA3009,cynosuros,Chlorocebus cynosuros,Kafue-1,Zambia,"25,993216667","-14,978316667","3,7","98,9000392205348",SAMN01162237,PRJNA168520
VZA3010,cynosuros,Chlorocebus cynosuros,Kafue-1,Zambia,"25,993216667","-14,978316667","4,5","99,6189353875401",SAMN01162232,PRJNA168520
VZA4012,cynosuros,Chlorocebus cynosuros,Lusaka,Zambia,"28,3","-15,4","4,5","99,075766998605",SAMN01162225,PRJNA168520
VZA4013,cynosuros,Chlorocebus cynosuros,Lusaka,Zambia,"28,3","-15,4","4,5","99,4568831110333",SAMN01162223,PRJNA168520
VZC1014,cynosuros,Chlorocebus cynosuros,Livingstone,Zambia,"25,83925","-17,884633333","4,5","99,7101205720897",SAMN01162219,PRJNA168520
VZC1015,cynosuros,Chlorocebus cynosuros,Livingstone,Zambia,"25,83925","-17,884633333","4,6","99,5531721765681",SAMN01162226,PRJNA168520
VZC1017,cynosuros,Chlorocebus cynosuros,Livingstone,Zambia,"25,83925","-17,884633333","4,6","99,6948503268587",SAMN01162233,PRJNA168520
VZC1018,cynosuros,Chlorocebus cynosuros,Livingstone,Zambia,"25,83925","-17,884633333","4,6","99,6554223773951",SAMN01162231,PRJNA168520
VZC1020,cynosuros,Chlorocebus cynosuros,Livingstone,Zambia,"25,83925","-17,884633333","4,3","99,646794507902",SAMN01162210,PRJNA168520
W566,sabaeus (St.Kitts/Nevis),Chlorocebus sabaeus,Dieppe bay-1,Saint Kitts,"-62,818","17,4162","2,8","99,3190648124813",SAMN06256019,PRJNA362602
X186,sabaeus (St.Kitts/Nevis),Chlorocebus sabaeus,Mansion-1,Saint Kitts,"-62,766","17,3826","2,8","99,4436310912028",SAMN06256020,PRJNA362602
X336,sabaeus (St.Kitts/Nevis),Chlorocebus sabaeus,New guinea,Saint Kitts,"-62,8291","17,3388","2,3","99,3819538240486",SAMN06256021,PRJNA362602
X598,sabaeus (St.Kitts/Nevis),Chlorocebus sabaeus,Bayfords,Saint Kitts,"-62,7151","17,3411","2,2","99,3353185513112",SAMN06256022,PRJNA362602
Y010,sabaeus (St.Kitts/Nevis),Chlorocebus sabaeus,Molyneaux-1,Saint Kitts,"-62,7575","17,3687","2,3","99,1625501096032",SAMN06256023,PRJNA362602
Y083,sabaeus (St.Kitts/Nevis),Chlorocebus sabaeus,Halfway tree,Saint Kitts,"-62,8182","17,3292","2,4","99,2161772670336",SAMN06256024,PRJNA362602
Y173,sabaeus (St.Kitts/Nevis),Chlorocebus sabaeus,Buckleys,Saint Kitts,"-62,7381","17,3017","2,7","99,3473142319539",SAMN06256025,PRJNA362602
